日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2024-01-02,15:30:00,513100.SS,1.210,14500,多,1.211,17545.000,-17.400
2024-01-02,15:30:00,518880.SS,4.666,6900,多,4.656,32195.400,66.240
2024-01-03,15:30:00,513100.SS,1.191,14500,多,1.211,17269.500,-292.900
2024-01-03,15:30:00,518880.SS,4.663,6900,多,4.656,32174.700,45.540
2024-01-04,15:30:00,513100.SS,1.185,14500,多,1.211,17182.500,-379.900
2024-01-04,15:30:00,518880.SS,4.651,6900,多,4.656,32091.900,-37.260
2024-01-05,15:30:00,513100.SS,1.176,14500,多,1.211,17052.000,-510.400
2024-01-05,15:30:00,518880.SS,4.664,6900,多,4.656,32181.600,52.440
2024-01-08,15:30:00,513100.SS,1.179,14500,多,1.211,17095.500,-466.900
2024-01-08,15:30:00,518880.SS,4.650,6900,多,4.656,32085.000,-44.160
2024-01-09,15:30:00,513100.SS,1.209,14500,多,1.211,17530.500,-31.900
2024-01-09,15:30:00,518880.SS,4.649,6900,多,4.656,32078.100,-51.060
2024-01-10,15:30:00,513100.SS,1.209,14500,多,1.211,17530.500,-31.900
2024-01-10,15:30:00,518880.SS,4.631,6900,多,4.656,31953.900,-175.260
2024-01-11,15:30:00,513100.SS,1.223,14500,多,1.211,17733.500,171.100
2024-01-11,15:30:00,518880.SS,4.631,6900,多,4.656,31953.900,-175.260
2024-01-12,15:30:00,513100.SS,1.219,14500,多,1.211,17675.500,113.100
2024-01-12,15:30:00,518880.SS,4.646,6900,多,4.656,32057.400,-71.760
2024-01-15,15:30:00,513100.SS,1.227,14500,多,1.211,17791.500,229.100
2024-01-15,15:30:00,518880.SS,4.673,6900,多,4.656,32243.700,114.540
2024-01-16,15:30:00,513100.SS,1.215,14500,多,1.211,17617.500,55.100
2024-01-16,15:30:00,518880.SS,4.677,6900,多,4.656,32271.300,142.140
2024-01-17,15:30:00,513100.SS,1.214,14500,多,1.211,17603.000,40.600
2024-01-17,15:30:00,518880.SS,4.631,6900,多,4.656,31953.900,-175.260
2024-01-18,15:30:00,513100.SS,1.217,14500,多,1.211,17646.500,84.100
2024-01-18,15:30:00,518880.SS,4.616,6900,多,4.656,31850.400,-278.760
2024-01-19,15:30:00,513100.SS,1.242,14500,多,1.211,18009.000,446.600
2024-01-19,15:30:00,518880.SS,4.643,6900,多,4.656,32036.700,-92.460
2024-01-22,15:30:00,513100.SS,1.280,14500,多,1.211,18560.000,997.600
2024-01-22,15:30:00,518880.SS,4.625,6900,多,4.656,31912.500,-216.660
2024-01-23,15:30:00,513100.SS,1.271,14500,多,1.211,18429.500,867.100
2024-01-23,15:30:00,518880.SS,4.632,6900,多,4.656,31960.800,-168.360
2024-01-24,15:30:00,513100.SS,1.278,14500,多,1.211,18531.000,968.600
2024-01-24,15:30:00,518880.SS,4.626,6900,多,4.656,31919.400,-209.760
2024-01-25,15:30:00,513100.SS,1.271,14500,多,1.211,18429.500,867.100
2024-01-25,15:30:00,518880.SS,4.605,6900,多,4.656,31774.500,-354.660
2024-01-26,15:30:00,513100.SS,1.261,14500,多,1.211,18284.500,722.100
2024-01-26,15:30:00,518880.SS,4.625,6900,多,4.656,31912.500,-216.660
2024-01-29,15:30:00,513100.SS,1.272,14500,多,1.211,18444.000,881.600
2024-01-29,15:30:00,518880.SS,4.634,6900,多,4.656,31974.600,-154.560
2024-01-30,15:30:00,513100.SS,1.292,14500,多,1.211,18734.000,1171.600
2024-01-30,15:30:00,518880.SS,4.647,6900,多,4.656,32064.300,-64.860
2024-01-31,15:30:00,513100.SS,1.264,14500,多,1.211,18328.000,765.600
2024-01-31,15:30:00,518880.SS,4.653,6900,多,4.656,32105.700,-23.460
2024-02-01,15:30:00,513100.SS,1.252,13500,多,1.209,16902.000,587.250
2024-02-01,15:30:00,518880.SS,4.668,6900,多,4.656,32209.200,80.040
2024-02-01,15:30:00,515790.SS,0.771,2000,多,0.762,1542.000,17.400
2024-02-02,15:30:00,513100.SS,1.283,13500,多,1.209,17320.500,1005.750
2024-02-02,15:30:00,518880.SS,4.679,6900,多,4.656,32285.100,155.940
2024-02-02,15:30:00,515790.SS,0.739,2000,多,0.762,1478.000,-46.600
2024-02-05,15:30:00,513100.SS,1.289,13500,多,1.209,17401.500,1086.750
2024-02-05,15:30:00,518880.SS,4.643,6900,多,4.656,32036.700,-92.460
2024-02-05,15:30:00,515790.SS,0.718,2000,多,0.762,1436.000,-88.600
2024-02-06,15:30:00,513100.SS,1.291,13500,多,1.209,17428.500,1113.750
2024-02-06,15:30:00,518880.SS,4.633,6900,多,4.656,31967.700,-161.460
2024-02-06,15:30:00,515790.SS,0.765,2000,多,0.762,1530.000,5.400
2024-02-07,15:30:00,513100.SS,1.279,13500,多,1.209,17266.500,951.750
2024-02-07,15:30:00,518880.SS,4.642,6900,多,4.656,32029.800,-99.360
2024-02-07,15:30:00,515790.SS,0.783,2000,多,0.762,1566.000,41.400
2024-02-08,15:30:00,513100.SS,1.308,13500,多,1.209,17658.000,1343.250
2024-02-08,15:30:00,518880.SS,4.662,6900,多,4.656,32167.800,38.640
2024-02-08,15:30:00,515790.SS,0.801,2000,多,0.762,1602.000,77.400
2024-02-19,15:30:00,513100.SS,1.301,13500,多,1.209,17563.500,1248.750
2024-02-19,15:30:00,518880.SS,4.644,6900,多,4.656,32043.600,-85.560
2024-02-19,15:30:00,515790.SS,0.800,2000,多,0.762,1600.000,75.400
2024-02-20,15:30:00,513100.SS,1.299,13500,多,1.209,17536.500,1221.750
2024-02-20,15:30:00,518880.SS,4.642,6900,多,4.656,32029.800,-99.360
2024-02-20,15:30:00,515790.SS,0.794,2000,多,0.762,1588.000,63.400
2024-02-21,15:30:00,513100.SS,1.282,13500,多,1.209,17307.000,992.250
2024-02-21,15:30:00,518880.SS,4.642,6900,多,4.656,32029.800,-99.360
2024-02-21,15:30:00,515790.SS,0.805,2000,多,0.762,1610.000,85.400
2024-02-22,15:30:00,513100.SS,1.304,13500,多,1.209,17604.000,1289.250
2024-02-22,15:30:00,518880.SS,4.639,6900,多,4.656,32009.100,-120.060
2024-02-22,15:30:00,515790.SS,0.813,2000,多,0.762,1626.000,101.400
2024-02-23,15:30:00,513100.SS,1.321,13500,多,1.209,17833.500,1518.750
2024-02-23,15:30:00,518880.SS,4.630,6900,多,4.656,31947.000,-182.160
2024-02-23,15:30:00,515790.SS,0.824,2000,多,0.762,1648.000,123.400
2024-02-26,15:30:00,513100.SS,1.308,13500,多,1.209,17658.000,1343.250
2024-02-26,15:30:00,518880.SS,4.651,6900,多,4.656,32091.900,-37.260
2024-02-26,15:30:00,515790.SS,0.818,2000,多,0.762,1636.000,111.400
2024-02-27,15:30:00,513100.SS,1.306,13500,多,1.209,17631.000,1316.250
2024-02-27,15:30:00,518880.SS,4.646,6900,多,4.656,32057.400,-71.760
2024-02-27,15:30:00,515790.SS,0.832,2000,多,0.762,1664.000,139.400
2024-02-28,15:30:00,513100.SS,1.309,13500,多,1.209,17671.500,1356.750
2024-02-28,15:30:00,518880.SS,4.645,6900,多,4.656,32050.500,-78.660
2024-02-28,15:30:00,515790.SS,0.817,2000,多,0.762,1634.000,109.400
2024-02-29,15:30:00,513100.SS,1.300,13500,多,1.209,17550.000,1235.250
